AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
71,38,3,53.5,12.67,19,7,2,36.8,6,2.00,74,4,17,23,7.4,47,26.0,6.0,61.7,591,2021-02-20,2021,02,20,北海道,北ガスアリーナ札幌46,ヴォレアス北海道,つくばユナイテッドSunGAIA,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,77,74,28,11,37.8,9.33,21,8,4,38.1,6,2.00,60,2,12,15,4.6,56,25.0,9.0,52.7
74,28,11,37.8,9.33,21,8,4,38.1,6,2.00,60,2,12,15,4.6,56,25.0,9.0,52.7,591,2021-02-20,2021,02,20,北海道,北ガスアリーナ札幌46,つくばユナイテッドSunGAIA,ヴォレアス北海道,五十嵐元,,0,3,3,Lose,77,71,38,3,53.5,12.67,19,7,2,36.8,6,2.00,74,4,17,23,7.4,47,26.0,6.0,61.7
76,45,3,59.2,15.00,10,6,0,60.0,10,3.33,73,4,14,19,7.2,42,15.0,16.0,54.8,592,2021-02-20,2021,02,20,北海道,北ガスアリーナ札幌46,サフィルヴァ北海道,兵庫デルフィーノ,上杉徹,小林準,3,0,3,Win,64,78,28,3,35.9,9.33,11,3,2,27.3,5,1.67,53,1,11,10,1.4,57,17.0,19.0,46.5
78,28,3,35.9,9.33,11,3,2,27.3,5,1.67,53,1,11,10,1.4,57,17.0,19.0,46.5,592,2021-02-20,2021,02,20,北海道,北ガスアリーナ札幌46,兵庫デルフィーノ,サフィルヴァ北海道,岩本正吾,奥田晃,0,3,3,Lose,64,76,45,3,59.2,15.00,10,6,0,60.0,10,3.33,73,4,14,19,7.2,42,15.0,16.0,54.8
76,37,6,48.7,12.33,12,4,2,33.3,14,4.67,74,3,12,19,6.4,48,28.0,7.0,65.6,595,2021-02-21,2021,02,21,北海道,北ガスアリーナ札幌46,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,71,91,30,11,33.0,10.00,13,4,4,30.8,3,1.00,55,1,6,13,5.0,61,27.0,15.0,56.6
91,30,11,33.0,10.00,13,4,4,30.8,3,1.00,55,1,6,13,5.0,61,27.0,15.0,56.6,595,2021-02-21,2021,02,21,北海道,北ガスアリーナ札幌46,兵庫デルフィーノ,ヴォレアス北海道,岩本正吾,奥田晃,0,3,3,Lose,71,76,37,6,48.7,12.33,12,4,2,33.3,14,4.67,74,3,12,19,6.4,48,28.0,7.0,65.6
119,58,8,48.7,14.50,19,10,4,52.6,11,2.75,89,3,16,18,3.9,76,22.0,21.0,42.8,596,2021-02-21,2021,02,21,北海道,北ガスアリーナ札幌46,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,小林準,3,1,4,Win,91,119,46,8,38.7,11.50,20,10,2,50.0,9,2.25,87,5,10,30,11.5,72,29.0,23.0,56.2
119,46,8,38.7,11.50,20,10,2,50.0,9,2.25,87,5,10,30,11.5,72,29.0,23.0,56.2,596,2021-02-21,2021,02,21,北海道,北ガスアリーナ札幌46,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,1,3,4,Lose,91,119,58,8,48.7,14.50,19,10,4,52.6,11,2.75,89,3,16,18,3.9,76,22.0,21.0,42.8
147,71,15,48.3,14.20,16,9,1,56.2,15,3.00,112,3,16,20,3.6,95,60.0,21.0,74.2,593,2021-02-20,2021,02,20,愛知県,メディアス体育館ちた,大同特殊鋼レッドスター,長野GaRons,平野晃多,,2,3,5,Lose,102,147,67,10,45.6,13.40,18,8,5,44.4,6,1.20,108,4,11,12,3.9,94,58.0,15.0,69.7
147,67,10,45.6,13.40,18,8,5,44.4,6,1.20,108,4,11,12,3.9,94,58.0,15.0,69.7,593,2021-02-20,2021,02,20,愛知県,メディアス体育館ちた,長野GaRons,大同特殊鋼レッドスター,篠崎寛,,3,2,5,Win,102,147,71,15,48.3,14.20,16,9,1,56.2,15,3.00,112,3,16,20,3.6,95,60.0,21.0,74.2
138,63,10,45.7,12.60,17,9,2,52.9,10,2.00,113,2,11,22,4.2,90,60.0,22.0,78.9,597,2021-02-21,2021,02,21,愛知県,メディアス体育館ちた,大同特殊鋼レッドスター,長野GaRons,平野晃多,,3,2,5,Win,106,155,73,14,47.1,14.60,17,7,3,41.2,10,2.00,111,2,20,7,-1.1,101,52.0,26.0,64.4
155,73,14,47.1,14.60,17,7,3,41.2,10,2.00,111,2,20,7,-1.1,101,52.0,26.0,64.4,597,2021-02-21,2021,02,21,愛知県,メディアス体育館ちた,長野GaRons,大同特殊鋼レッドスター,篠崎寛,,2,3,5,Lose,106,138,63,10,45.7,12.60,17,9,2,52.9,10,2.00,113,2,11,22,4.2,90,60.0,22.0,78.9
91,39,12,42.9,13.00,11,7,2,63.6,5,1.67,65,3,6,10,6.2,64,36.0,12.0,65.6,600,2021-02-27,2021,02,27,三重県,津市久居総合体育館,ヴィアティン三重,富士通カワサキレッドスピリッツ,亀田吉彦,田中一彰,0,3,3,Lose,75,91,51,6,56.0,17.00,14,8,3,57.1,7,2.33,77,2,11,16,4.2,59,32.0,14.0,66.1
91,51,6,56.0,17.00,14,8,3,57.1,7,2.33,77,2,11,16,4.2,59,32.0,14.0,66.1,600,2021-02-27,2021,02,27,三重県,津市久居総合体育館,富士通カワサキレッドスピリッツ,ヴィアティン三重,山本道彦,廣本遥,3,0,3,Win,75,91,39,12,42.9,13.00,11,7,2,63.6,5,1.67,65,3,6,10,6.2,64,36.0,12.0,65.6
106,53,6,50.0,17.67,13,5,1,38.5,8,2.67,81,0,8,18,3.1,62,26.0,16.0,54.8,603,2021-02-27,2021,02,27,三重県,津市久居総合体育館,埼玉アザレア,大同特殊鋼レッドスター,工藤晴康,切山雄樹,3,0,3,Win,79,121,51,8,42.1,17.00,19,7,4,36.8,5,1.67,75,1,13,19,3.3,73,33.0,22.0,60.3
121,51,8,42.1,17.00,19,7,4,36.8,5,1.67,75,1,13,19,3.3,73,33.0,22.0,60.3,603,2021-02-27,2021,02,27,三重県,津市久居総合体育館,大同特殊鋼レッドスター,埼玉アザレア,平野晃多,,0,3,3,Lose,79,106,53,6,50.0,17.67,13,5,1,38.5,8,2.67,81,0,8,18,3.1,62,26.0,16.0,54.8
152,65,12,42.8,13.00,21,9,3,42.9,9,1.80,108,8,16,42,13.4,97,30.0,38.0,50.5,602,2021-02-28,2021,02,28,兵庫県,西脇市総合市民センター,兵庫デルフィーノ,長野GaRons,岩本正吾,長谷川匡,2,3,5,Lose,115,148,71,7,48.0,14.20,14,8,1,57.1,7,1.40,112,2,15,30,5.1,86,18.0,26.0,36.0
148,71,7,48.0,14.20,14,8,1,57.1,7,1.40,112,2,15,30,5.1,86,18.0,26.0,36.0,602,2021-02-28,2021,02,28,兵庫県,西脇市総合市民センター,長野GaRons,兵庫デルフィーノ,篠崎寛,,3,2,5,Win,115,152,65,12,42.8,13.00,21,9,3,42.9,9,1.80,108,8,16,42,13.4,97,30.0,38.0,50.5
46,28,2,60.9,9.33,13,7,1,53.8,10,3.33,74,9,14,17,13.2,31,12.0,9.0,53.2,605,2021-02-27,2021,02,27,兵庫県,西脇市総合市民センター,ヴォレアス北海道,長野GaRons,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,56,73,17,18,23.3,5.67,8,3,3,37.5,1,0.33,39,2,8,10,6.4,56,25.0,14.0,57.1
73,17,18,23.3,5.67,8,3,3,37.5,1,0.33,39,2,8,10,6.4,56,25.0,14.0,57.1,605,2021-02-27,2021,02,27,兵庫県,西脇市総合市民センター,長野GaRons,ヴォレアス北海道,篠崎寛,,0,3,3,Lose,56,46,28,2,60.9,9.33,13,7,1,53.8,10,3.33,74,9,14,17,13.2,31,12.0,9.0,53.2
115,61,11,53.0,15.25,26,12,3,46.2,11,2.75,110,5,18,24,5.9,71,31.0,20.0,57.7,607,2021-03-06,2021,03,06,北海道,旭川市リアルター夢りんご体育館,富士通カワサキレッドスピリッツ,サフィルヴァ北海道,山本道彦,廣本遥,3,1,4,Win,104,114,48,11,42.1,12.00,24,7,4,29.2,10,2.50,92,3,19,20,3.5,90,40.0,26.0,58.9
114,48,11,42.1,12.00,24,7,4,29.2,10,2.50,92,3,19,20,3.5,90,40.0,26.0,58.9,607,2021-03-06,2021,03,06,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,富士通カワサキレッドスピリッツ,上杉徹,小林準,1,3,4,Lose,104,115,61,11,53.0,15.25,26,12,3,46.2,11,2.75,110,5,18,24,5.9,71,31.0,20.0,57.7
93,43,8,46.2,14.33,23,10,4,43.5,13,4.33,75,3,15,21,6.0,58,37.0,14.0,75.9,608,2021-03-06,2021,03,06,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,埼玉アザレア,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,84,85,29,9,34.1,9.67,12,4,3,33.3,7,2.33,63,1,5,7,2.4,59,30.0,8.0,57.6
85,29,9,34.1,9.67,12,4,3,33.3,7,2.33,63,1,5,7,2.4,59,30.0,8.0,57.6,608,2021-03-06,2021,03,06,北海道,旭川市リアルター夢りんご体育館,埼玉アザレア,ヴォレアス北海道,工藤晴康,,0,3,3,Lose,84,93,43,8,46.2,14.33,23,10,4,43.5,13,4.33,75,3,15,21,6.0,58,37.0,14.0,75.9
115,47,4,40.9,15.67,17,7,1,41.2,6,2.00,83,4,4,17,8.7,60,28.0,15.0,59.2,609,2021-03-07,2021,03,07,北海道,旭川市リアルター夢りんご体育館,埼玉アザレア,サフィルヴァ北海道,工藤晴康,,3,0,3,Win,84,126,54,9,42.9,18.00,26,15,3,57.7,11,3.67,77,2,17,17,2.6,78,32.0,29.0,59.6
126,54,9,42.9,18.00,26,15,3,57.7,11,3.67,77,2,17,17,2.6,78,32.0,29.0,59.6,609,2021-03-07,2021,03,07,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,埼玉アザレア,上杉徹,小林準,0,3,3,Lose,84,115,47,4,40.9,15.67,17,7,1,41.2,6,2.00,83,4,4,17,8.7,60,28.0,15.0,59.2
99,45,8,45.5,15.00,13,6,0,46.2,6,2.00,72,1,16,20,2.8,67,32.0,15.0,59.0,610,2021-03-07,2021,03,07,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,富士通カワサキレッドスピリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,86,91,47,5,51.6,15.67,13,8,2,61.5,6,2.00,79,0,12,20,2.5,56,22.0,14.0,51.8
91,47,5,51.6,15.67,13,8,2,61.5,6,2.00,79,0,12,20,2.5,56,22.0,14.0,51.8,610,2021-03-07,2021,03,07,北海道,旭川市リアルター夢りんご体育館,富士通カワサキレッドスピリッツ,ヴォレアス北海道,山本道彦,廣本遥,3,0,3,Win,86,99,45,8,45.5,15.00,13,6,0,46.2,6,2.00,72,1,16,20,2.8,67,32.0,15.0,59.0
112,51,6,45.5,17.00,17,6,1,35.3,6,2.00,86,1,14,23,3.8,55,31.0,10.0,65.5,563,2021-02-07,2021,02,07,三重県,AGF鈴鹿体育館,ヴィアティン三重,サフィルヴァ北海道,亀田吉彦,田中一彰,3,0,3,Win,86,103,40,11,38.8,13.33,18,5,3,27.8,10,3.33,74,1,19,13,-0.7,71,25.0,23.0,51.4
103,40,11,38.8,13.33,18,5,3,27.8,10,3.33,74,1,19,13,-0.7,71,25.0,23.0,51.4,563,2021-02-07,2021,02,07,三重県,AGF鈴鹿体育館,サフィルヴァ北海道,ヴィアティン三重,上杉徹,小林準,0,3,3,Lose,86,112,51,6,45.5,17.00,17,6,1,35.3,6,2.00,86,1,14,23,3.8,55,31.0,10.0,65.5
76,37,8,48.7,12.33,6,1,3,16.7,3,1.00,74,6,9,18,11.1,39,19.0,11.0,62.8,564,2021-02-06,2021,02,06,三重県,AGF鈴鹿体育館,大同特殊鋼レッドスター,サフィルヴァ北海道,平野晃多,,3,0,3,Win,63,73,32,8,43.8,10.67,7,3,1,42.9,6,2.00,59,2,19,8,-1.3,63,27.0,14.0,54.0
73,32,8,43.8,10.67,7,3,1,42.9,6,2.00,59,2,19,8,-1.3,63,27.0,14.0,54.0,564,2021-02-06,2021,02,06,三重県,AGF鈴鹿体育館,サフィルヴァ北海道,大同特殊鋼レッドスター,上杉徹,小林準,0,3,3,Lose,63,76,37,8,48.7,12.33,6,1,3,16.7,3,1.00,74,6,9,18,11.1,39,19.0,11.0,62.8
